"Cell Potential[V]", "Cell Current[A]"
-1.5956358,  -0.00083382226
-1.5974132,  -0.00083939072
-1.5997281,  -0.00084514155
-1.6017295,  -0.00085132868
-1.6031966,  -0.00085602548
-1.6054356,  -0.00086224561
-1.6072809,  -0.00086843336
-1.6093707,  -0.00087453503
-1.6114704,  -0.00088027264
-1.6132540,  -0.00088672038
-1.6154716,  -0.00089280942
-1.6174630,  -0.00089908938
-1.6195237,  -0.00090536488
-1.6215220,  -0.00091193956
-1.6233973,  -0.00091865684
-1.6255876,  -0.00092490637
-1.6273852,  -0.00093026621
-1.6290497,  -0.00093768807
-1.6313048,  -0.00094410982
-1.6332125,  -0.00095030434
-1.6353145,  -0.00095668031
-1.6373768,  -0.00096290706
-1.6391359,  -0.00096999300
-1.6413994,  -0.00097676450
-1.6433790,  -0.00098373717
-1.6452987,  -0.00099103386
-1.6474147,  -0.00099767091
-1.6492519,  -0.0010055941
-1.6512921,  -0.0010129827
-1.6532551,  -0.0010194873
-1.6550161,  -0.0010263803
-1.6571276,  -0.0010339746
-1.6591327,  -0.0010404977
-1.6612209,  -0.0010478592
-1.6632969,  -0.0010552800
-1.6650589,  -0.0010621353
-1.6672330,  -0.0010691355
-1.6692691,  -0.0010757068
-1.6711649,  -0.0010829280
-1.6733293,  -0.0010900062
-1.6749907,  -0.0010970776
-1.6770214,  -0.0011031487
-1.6791377,  -0.0011105311
-1.6808685,  -0.0011178277
-1.6830902,  -0.0011250918
-1.6849889,  -0.0011322512
-1.6871762,  -0.0011401326
-1.6891136,  -0.0011476881
-1.6908843,  -0.0011555041
-1.6931631,  -0.0011629307
-1.6952131,  -0.0011701935
-1.6971098,  -0.0011775241
-1.6991663,  -0.0011850723
-1.7007878,  -0.0011914119
-1.7029457,  -0.0011983243
-1.7050701,  -0.0012062307
-1.7067350,  -0.0012140894
-1.7090193,  -0.0012222921
-1.7109073,  -0.0012305606
-1.7129496,  -0.0012380312
-1.7150120,  -0.0012454741
-1.7168290,  -0.0012531105
-1.7190556,  -0.0012607771
-1.7210677,  -0.0012686612
-1.7230016,  -0.0012763985
-1.7247923,  -0.0012833669
-1.7266894,  -0.0012912381
-1.7288191,  -0.0012989320
-1.7309096,  -0.0013071592
-1.7326706,  -0.0013150759
-1.7347849,  -0.0013230758
-1.7367143,  -0.0013311172
-1.7387317,  -0.0013389462
-1.7408565,  -0.0013473991
-1.7426178,  -0.0013553840
-1.7448454,  -0.0013628814
-1.7468955,  -0.0013718140
-1.7485197,  -0.0013794753
-1.7505724,  -0.0013866640
-1.7524835,  -0.0013952261
-1.7545496,  -0.0014031636
-1.7566810,  -0.0014113873
-1.7583564,  -0.0014189714
-1.7606589,  -0.0014276936
-1.7626791,  -0.0014359742
-1.7646983,  -0.0014443302
-1.7667536,  -0.0014536275
-1.7685551,  -0.0014617132
-1.7708122,  -0.0014703226
-1.7727964,  -0.0014783363
-1.7742689,  -0.0014856215
-1.7764393,  -0.0014938947
-1.7784294,  -0.0015026583
-1.7804950,  -0.0015110462
-1.7826020,  -0.0015197631
-1.7843118,  -0.0015287775
-1.7865783,  -0.0015372694
-1.7885857,  -0.0015458926
-1.7904940,  -0.0015544287
-1.7926057,  -0.0015622269
-1.7943430,  -0.0015713853
-1.7965773,  -0.0015801937
-1.7984015,  -0.0015876554
-1.8001850,  -0.0015963914
-1.8023788,  -0.0016051072
-1.8042953,  -0.0016134203
-1.8063201,  -0.0016228802
-1.8084767,  -0.0016315644
-1.8102376,  -0.0016400703
-1.8124454,  -0.0016486277
-1.8144045,  -0.0016568191
-1.8163421,  -0.0016653077
-1.8184812,  -0.0016746528
-1.8203631,  -0.0016837312
-1.8223801,  -0.0016916999
-1.8243427,  -0.0016997895
-1.8259815,  -0.0017090315
-1.8282618,  -0.0017181782
-1.8301554,  -0.0017279866
-1.8322414,  -0.0017367529
-1.8342698,  -0.0017459922
-1.8360479,  -0.0017545930
-1.8382940,  -0.0017636423
-1.8403369,  -0.0017734244
-1.8423116,  -0.0017821467
-1.8444357,  -0.0017909282
-1.8460347,  -0.0018001448
-1.8481080,  -0.0018080509
-1.8502161,  -0.0018174146
-1.8519408,  -0.0018273411
-1.8540998,  -0.0018364342
-1.8560872,  -0.0018456170
-1.8581139,  -0.0018543039
-1.8602658,  -0.0018636122
-1.8620377,  -0.0018734228
-1.8642555,  -0.0018831757
-1.8662609,  -0.0018921098
-1.8682036,  -0.0019013262
-1.8701490,  -0.0019105965
-1.8718473,  -0.0019186738
-1.8739597,  -0.0019281506
-1.8760739,  -0.0019374095
-1.8778342,  -0.0019466096
-1.8800512,  -0.0019558200
-1.8820260,  -0.0019660928
-1.8840588,  -0.0019750648
-1.8861345,  -0.0019841621
-1.8879404,  -0.0019936658
-1.8901271,  -0.0020035395
-1.8921255,  -0.0020130145
-1.8940339,  -0.0020214154
-1.8958014,  -0.0020302309
-1.8977471,  -0.0020400306
-1.8998403,  -0.0020502547
-1.9019756,  -0.0020601199
-1.9037171,  -0.0020692859
-1.9058849,  -0.0020787895
-1.9078827,  -0.0020878466
-1.9100288,  -0.0020978880
-1.9120296,  -0.0021073516
-1.9137817,  -0.0021177226
-1.9160296,  -0.0021273058
-1.9180725,  -0.0021372764
-1.9196400,  -0.0021462071
-1.9217500,  -0.0021551312
-1.9236747,  -0.0021649192
-1.9258272,  -0.0021754265
-1.9279046,  -0.0021855207
-1.9296365,  -0.0021953126
-1.9318076,  -0.0022043650
-1.9337612,  -0.0022143601
-1.9358089,  -0.0022243339
-1.9378352,  -0.0022344859
-1.9396420,  -0.0022441809
-1.9418959,  -0.0022540864
-1.9438840,  -0.0022636662
-1.9455180,  -0.0022724287
-1.9476775,  -0.0022830168
-1.9495306,  -0.0022926014
-1.9516985,  -0.0023019278
-1.9538160,  -0.0023123501
-1.9555191,  -0.0023224741
-1.9577203,  -0.0023314496
-1.9597017,  -0.0023422879
-1.9616900,  -0.0023525525
-1.9637534,  -0.0023627231
-1.9655896,  -0.0023728715
-1.9677307,  -0.0023822390
-1.9696424,  -0.0023906427
-1.9713159,  -0.0024015980
-1.9734864,  -0.0024115923
-1.9753968,  -0.0024216042
-1.9775110,  -0.0024319420
-1.9796117,  -0.0024427650
-1.9813652,  -0.0024525917
-1.9835438,  -0.0024626953
-1.9856018,  -0.0024728303
-1.9875522,  -0.0024828999
-1.9896761,  -0.0024927373
-1.9914504,  -0.0025029577
-1.9934638,  -0.0025117230
